#Типы send функций,Значение (ETC - дргуое),Сообщение,Тип сообщения: DEBUG - для отладки

#,0,Закрыть,

#,0,Покупка лошади,
430,-33300,Невозможно начать битву. Противник отсутствует.,# 戦闘開始前に相手が居なくなったため、無効試合となりました,

#,431,Режим наблюдателя.,# 観戦モード
431,-33000,Зал не существует.,# ルームが存在しません,
431,-33100,В данный момент невозможно войти в зал.,# 現在、そのルームには入る事ができません,
431,-33101,Наблюдение недоступно в данном зале.,# このルームは観戦できません,
431,-33004,Вы уже находитесь в другом зале.,# 他のルームに参加中です,

#,440,
440,-1,Операция недоступна в данный момент.,# 現在、その操作は行えません,
440,-123,Персонаж не найден.,# キャラが見つかりません,
440,-12000,В данный момент операции с гильдией недоступны.,# 現在、クラン関連の操作は行える状態ではありません,
440,-12001,Название гильдии уже используется.,#  既に使用されているクラン名です,
440,-12002,Неверное имя гильдии.,# 不正なクラン名です,
440,-12003,Вы уже состоите в гильдии.,# 既にクランに所属しています,
440,-12004,Достигнуто максимальное кол-во участников в гильдии.,# メンバーが定員に達しています.
440,-12005,Персонаж не состоит в гильдии.,# クランに所属していません,
440,-12006,У вас нет прав для приглашения в гильдию.,# クランに招待する権限がありません,
440,-12007,Вы не являетесь главой гильдии.,# リーダーではありません,
440,-12008,"Невозможно распустить гильдию, так как есть ещё участники.",# まだメンバーが存在している為、解散できません,
440,-12009,Персонаж не вступил в нацию.,# 国家に所属していません,
440,-12010,Другая нация.,# 異なる国家です,
440,-12011,Глава гильдии не может быть исключен.,# リーダーは除名できません,
440,-12050,Данная операция недоступна во время осад.,# 攻城戦中には行えなません,
440,-36000,Персонаж не существует.,# 存在しないキャラクターです,
440,-36001,Персонаж не состоит в гильдии.,# クランに所属していません,
440,-36002,Указанная страница не существует.,# 指定したページが存在しません,
440,-36003,Сообщение было удалено.,# 投稿を削除されています,
440,-36004,Другая нация.,# 異なる国家です,
440,-36005,Недостаточно прав.,# 操作できる権限がありません,
440,-36006,Вы не являетесь главой гильдии.,# リーダーではありません,
440,-36100,Достигнут лимит игроков на регистрацию.,# 満員の為、登録を行う事ができません,
440,-36101,Вы уже подали заявку на вступление в другую гильдию.,# 既に他のクランへの加入申請を行っています,
440,-36102,Ваша заявка на вступление в гильдию уже одобрена.,# 既にクランへの加入申請を行っています,
440,-36103,Персонаж уже состоит в гильдии.,# 既にクランに所属しています,
440,-36104,Запись удалена.,# 投稿を削除されています,
440,-36105,Участники гильдии должны принадлежать к вашей нации.,# クランメンバーは同じ国家に所属している必要があります,
440,-36106,Невозможно применить.,# 申請をしていません,
440,-36107,Запись не опубликована.,# 掲載を行っていません,
